hotel_name,Category,Full_Addr,Addr,City,State,Zipcode,Stars,Num_Reviews,url,lat,lng
"The St. Regis Washington, D.C.",7,"923 16th and K Streets, N.W. Washington, District Of Columbia 20006",923 16th and K Streets N.W.,Washington,DC, 20006,4.3,498,NULL,38.9021295,-77.0361522
W Washington D.C.,7,"515 15th Street NW Washington, District Of Columbia 20004",515 15th Street NW,Washington,DC, 20004,4.2,78,NULL,38.8967984,-77.0327448
"The Westin Georgetown, Washington D.C.",5,"2350 M Street N.W. Washington, District Of Columbia 20037",2350 M Street N.W.,Washington,DC, 20037,4.2,529,NULL,38.9049295,-77.0509781
"The Westin Washington, D.C. City Center",5,"1400 M Street NW Washington, District Of Columbia 20005",1400 M Street NW,Washington,DC, 20005,3.6,1015,NULL,38.9052525,-77.0333279
Courtyard Waterbury Downtown,3,"63 Grand Street Waterbury, Connecticut 06702",63 Grand Street,Waterbury,CT, 06702,4.2,755,NULL,41.5528909,-73.0406625
Fairfield Inn & Suites Waterbury Stowe,5,"1017 Waterbury Stowe Road Waterbury, Vermont 05676",1017 Waterbury Stowe Road,Waterbury,VT, 05676,4.8,399,NULL,44.3499647,-72.7437274
SpringHill Suites Mystic Waterford,4,"401 North Frontage Road Waterford, Connecticut 06385",401 North Frontage Road,Waterford,CT, 06385,4.4,384,NULL,41.3725767,-72.1211022
Courtyard Waterloo Cedar Falls,3,"250 Westfield Avenue Waterloo, Iowa 50701",250 Westfield Avenue,Waterloo,IA, 50701,4.3,249,NULL,42.4992965,-92.3494516
Fairfield Inn & Suites Waterloo Cedar Falls,3,"2134 La Porte Road Waterloo, Iowa 50702",2134 La Porte Road,Waterloo,IA, 50702,4.7,301,NULL,42.4635313,-92.3179875
Fairfield Inn & Suites Watertown Thousand Islands,2,"250 Commerce Park Drive Watertown, New York 13601",250 Commerce Park Drive,Watertown,NY, 13601,4.8,558,NULL,43.9823419,-75.9403817
Residence Inn Boston Watertown,5,"570 Arsenal Street Watertown, Massachusetts 02472",570 Arsenal Street,Watertown,MA, 02472,4.8,422,NULL,42.3629031,-71.1543207
Fairfield Inn & Suites Watervliet St. Joseph,3,"8258 Arnt Boulevard Watervliet, Michigan 49098",8258 Arnt Boulevard,Watervliet,MI, 49098,4.1,542,NULL,42.1792136,-86.2579284
Courtyard Chicago Waukegan/Gurnee,3,"3800 Northpoint Blvd Waukegan, Illinois 60085",3800 Northpoint Blvd,Waukegan,IL, 60085,4.5,698,NULL,42.3463966,-87.8961617
Residence Inn Chicago Waukegan/Gurnee,3,"1440  South White Oak Drive Waukegan, Illinois 60085",1440 South White Oak ,Waukegan,IL, 60085,4.7,537,NULL,42.334329,-87.8942067
SpringHill Suites Chicago Waukegan/Gurnee,3,"4101 Fountain Square Place Waukegan, Illinois 60085",4101 Fountain Square Place,Waukegan,IL, 60085,4.5,538,NULL,42.3443911,-87.9021025
Milwaukee Marriott West,3,"W231N1600 Corporate Ct Waukesha, Wisconsin 53186",W231N1600 Corporate Ct,Waukesha,WI, 53186,4.6,607,NULL,43.0526786,-88.2079639
Courtyard Wausau,3,"1000 South 22nd Avenue Wausau, Wisconsin 54401",1000 South 22nd Avenue,Wausau,WI, 54401,4.8,422,NULL,44.9503064,-89.6649424
Renaissance Milwaukee West Hotel,NULL,"2300 North Mayfair Road Wauwatosa, Wisconsin 53226",2300 North Mayfair Road,Wauwatosa,WI, 53226,NULL,NULL,NULL,43.060686,-88.0466426
Residence Inn Milwaukee West,2,"1300 Discovery Parkway Wauwatosa, Wisconsin 53226",1300 Discovery Parkway,Wauwatosa,WI, 53226,4.4,219,NULL,43.0474449,-88.0305767
SpringHill Suites Milwaukee West/Wauwatosa,2,"10411 West Watertown Plank Road Wauwatosa, Wisconsin 53226",10411 West Watertown Plank Road,Wauwatosa,WI, 53226,4.7,68,NULL,43.044911,-88.0426708
